zmean,alpha,kb,b0,D_ell_2033,D_ell_4093,D_ell_6153,D_ell_8213,D_ell_10273
8.252,0.6096,0.4657,0.4767,1.403,1.124,0.7807,0.6145,0.5826
7.405,0.1394,0.2587,0.7705,1.887,1.82,1.465,1.271,1.312
8.512,0.5207,1.746,0.2331,0.9371,0.833,0.6142,0.4852,0.468
8.143,0.6901,1.575,0.1113,0.6218,0.5164,0.3501,0.2684,0.2489
7.048,0.7856,1.691,0.32,1.255,0.9634,0.6772,0.5486,0.5395
8.726,0.8268,0.1,0.7112,1.318,0.7887,0.4811,0.3391,0.3108
7.805,0.7546,0.2426,0.7161,1.433,0.9866,0.6468,0.4894,0.4755
8.494,0.5022,0.7024,0.6338,1.937,1.639,1.232,1.008,0.9696
7.586,0.3753,0.7624,0.3088,0.9058,0.7973,0.611,0.4963,0.4967
7.662,0.6165,1.246,0.3856,1.161,1,0.7364,0.5966,0.5821
8.574,0.5007,1.053,0.7125,2.044,1.915,1.494,1.236,1.205
8.632,0.5095,0.9791,0.2107,0.8395,0.7021,0.4947,0.3829,0.368
7.963,0.7143,1.796,0.2578,1.121,0.9386,0.6642,0.528,0.5126
7.003,0.4944,1.122,0.7543,1.735,1.564,1.238,1.059,1.085
8.23,0.2641,0.264,0.5224,1.529,1.325,1.002,0.8318,0.8314
7.033,0.1923,1.717,0.121,0.4323,0.3857,0.2865,0.2351,0.239
7.592,0.3141,1.264,0.7149,2.011,1.854,1.476,1.257,1.258
7.066,0.8192,1.77,0.2608,0.7197,0.6263,0.4544,0.374,0.3716
8.783,0.2579,0.2861,0.5574,1.752,1.582,1.189,0.9661,0.9379
