zmean,alpha,kb,b0,D_ell_2033,D_ell_4093,D_ell_6153,D_ell_8213,D_ell_10273
7.547,0.2312,1.464,0.6891,1.998,1.897,1.55,1.327,1.356
7.125,0.272,0.9384,0.3786,1.019,0.921,0.7374,0.627,0.6471
8.136,0.4426,0.2489,0.708,1.895,1.511,1.09,0.8719,0.8423
7.044,0.392,1.27,0.1467,0.495,0.4301,0.3146,0.2536,0.2618
8.382,0.3054,1.907,0.3721,1.215,1.131,0.9145,0.7557,0.752
8.678,0.4605,0.861,0.4527,1.515,1.343,1.006,0.8118,0.7862
7.933,0.4186,0.9352,0.5387,1.467,1.311,1.016,0.8562,0.8478
7.87,0.3827,0.7734,0.6393,1.78,1.581,1.259,1.055,1.043
8.362,0.6085,1.812,0.7734,2.453,2.264,1.737,1.454,1.435
8.184,0.5678,0.9926,0.7443,2.012,1.781,1.363,1.139,1.116
7.534,0.7886,1.314,0.7138,1.854,1.578,1.175,0.942,0.9483
8.624,0.6621,0.9017,0.3994,1.787,1.407,1.012,0.7993,0.7456
7.647,0.3088,0.835,0.1041,0.4824,0.4294,0.2938,0.2303,0.2253
7.022,0.4565,0.1101,0.4238,0.7386,0.5485,0.379,0.2994,0.304
8.834,0.4269,0.119,0.2473,0.8179,0.6145,0.403,0.2942,0.2731
7.968,0.3424,1.967,0.4413,1.449,1.387,1.102,0.9303,0.9362
8.557,0.2801,1.593,0.7922,2.689,2.64,2.147,1.815,1.81
7.507,0.7511,1.433,0.2965,0.9321,0.7687,0.5669,0.4553,0.4515
8.52,0.6218,0.1372,0.3395,0.8942,0.6255,0.4054,0.2919,0.2743
7.921,0.596,0.109,0.7863,1.466,0.9719,0.6499,0.4929,0.4668
7.056,0.2351,1.448,0.2435,0.6767,0.6357,0.4961,0.4251,0.43
8.356,0.1064,0.6727,0.7956,2.212,2.223,1.873,1.642,1.656
8.874,0.8228,0.1824,0.5328,1.123,0.7536,0.4747,0.3466,0.3141
7.099,0.2358,1.726,0.2861,0.8228,0.7837,0.6105,0.529,0.539
7.21,0.1981,0.5463,0.3544,0.9316,0.8934,0.6954,0.5942,0.613
7.812,0.3659,0.6584,0.632,1.594,1.5,1.138,0.9524,0.9639
8.854,0.4654,1.673,0.7354,2.442,2.355,1.849,1.543,1.52
8.4,0.888,1.741,0.4649,1.755,1.48,1.092,0.8762,0.826
8.582,0.455,0.8861,0.1943,0.792,0.6967,0.4851,0.3839,0.3621
8.291,0.3841,1.229,0.4376,1.455,1.291,0.9981,0.8266,0.8162
8.349,0.5596,1.962,0.6387,1.757,1.668,1.317,1.1,1.085
8.073,0.3222,0.2065,0.6329,1.732,1.39,1.056,0.8577,0.8464
8.448,0.1555,0.8584,0.3702,1.268,1.193,0.9291,0.7799,0.7735
7.34,0.1648,1.686,0.1574,0.5706,0.5212,0.401,0.3326,0.3351
7.172,0.7594,1.329,0.4059,0.9868,0.8534,0.6291,0.5167,0.5152
8.126,0.1439,0.269,0.1897,0.7952,0.6881,0.5012,0.405,0.4003
7.891,0.2614,0.1859,0.2185,0.6784,0.5849,0.4102,0.3292,0.3185
7.888,0.3853,0.1685,0.6785,1.719,1.314,0.9465,0.7655,0.755
8.039,0.7733,0.82,0.4344,1.298,1.049,0.7333,0.5785,0.5534
7.953,0.6145,1.506,0.2657,0.9707,0.841,0.6071,0.4917,0.4826
8.413,0.4681,0.6151,0.4098,1.342,1.169,0.8499,0.6835,0.6618
7.859,0.7604,1.804,0.527,1.682,1.448,1.081,0.8795,0.8682
7.781,0.8826,1.279,0.2567,0.8674,0.7252,0.5029,0.3904,0.3754
7.372,0.3937,1.292,0.4081,1.271,1.113,0.8717,0.7272,0.729
8.854,0.2727,0.9023,0.7525,2.307,2.21,1.777,1.513,1.486
7.029,0.3397,1.357,0.6073,1.413,1.369,1.115,0.9555,0.9904
7.976,0.1113,0.2133,0.5589,1.58,1.472,1.182,1.024,1.024
8.091,0.1403,1.436,0.3957,1.428,1.378,1.115,0.9472,0.9483
8.667,0.2772,0.2718,0.3871,1.282,1.092,0.8217,0.671,0.6475
7.073,0.7462,1.629,0.3295,0.9471,0.7902,0.5909,0.4861,0.488
8.898,0.162,1.106,0.2145,1.003,0.911,0.6771,0.5499,0.5289
8.642,0.1542,0.1935,0.619,1.841,1.739,1.379,1.168,1.154
8.448,0.7439,1.9,0.7462,2.22,2.005,1.577,1.294,1.258
7.565,0.1368,0.8461,0.1188,0.5654,0.4781,0.3412,0.2715,0.2696
7.285,0.2894,1.466,0.6753,1.621,1.585,1.302,1.126,1.153
7.094,0.6801,1.679,0.4617,1.107,0.984,0.7694,0.6455,0.6525
7.206,0.6631,0.6486,0.264,0.9424,0.7054,0.4753,0.3723,0.3675
8.728,0.521,0.5837,0.243,1.03,0.8252,0.5694,0.4323,0.4123
